,gvkey,year,sim
0,1004,2002,0.9518437057539684
1,1004,2003,1.0436426355443713
2,1004,2004,1.1277242038221524
3,1004,2005,1.206132834939111
4,1004,2006,1.280049409158294
5,1013,2002,123.13702450569183
6,1013,2003,126.79313204753365
7,1013,2004,129.13544137403494
8,1013,2005,130.89855560931713
9,1013,2006,132.25316402974462
10,1045,2002,2.7425040996447563
11,1045,2003,2.929081362738569
12,1045,2004,3.0660037798516195
13,1045,2005,3.185486678116734
14,1045,2006,3.2885682885456835
15,1056,2002,3.822450806628072
16,1056,2003,3.868931506805557
17,1056,2004,3.9519265222622146
18,1056,2005,4.031746747333376
19,1056,2006,4.079323868506692
20,1072,2002,7.2318965647242806
21,1072,2003,7.371143643934016
22,1072,2004,7.5028318145494906
23,1072,2005,7.610087483367202
24,1072,2006,7.722111858324941
25,1075,2002,3.6592916950768104
26,1075,2003,3.891147133961093
27,1075,2004,4.0470287230194515
28,1075,2005,4.1785095392011025
29,1075,2006,4.297213567566329
30,1078,2002,101.8034539749631
31,1078,2003,101.52225162818361
32,1078,2004,101.71869489685703
33,1078,2005,102.09890921049471
34,1078,2006,102.75317413117381
35,1104,2002,1.9880402818275809
36,1104,2003,2.1134982949108516
37,1104,2004,2.210690211781813
38,1104,2005,2.307759228838148
39,1104,2006,2.389775541329485
40,1161,2002,1009.1436763390384
41,1161,2003,1008.7422557110755
42,1161,2004,1013.8042343343209
43,1161,2005,1018.9988482134887
44,1161,2006,1023.672789554835
45,1164,2002,14.605939347529127
46,1164,2003,13.356548368939546
47,1164,2004,12.651240629458728
48,1164,2005,12.651910173825812
49,1164,2006,12.76793939367537
50,1177,2002,0.05004368791011987
51,1177,2003,0.10505475023992233
52,1177,2004,0.1614199443753602
53,1177,2005,0.21958587639710472
54,1177,2006,0.279051576667242
55,1209,2002,89.14576872813171
56,1209,2003,89.8940837065684
57,1209,2004,90.45341432132038
58,1209,2005,91.0783688122868
59,1209,2006,91.87225947928832
60,1234,2002,1.7556913006457677
61,1234,2003,1.8218790963524212
62,1234,2004,1.8784785293580146
63,1234,2005,1.9669408731119087
64,1234,2006,2.0496423926787948
65,1239,2002,0.19276267483362833
66,1239,2003,0.21174777030207295
67,1239,2004,0.2501210817017242
68,1239,2005,0.28594163662362587
69,1239,2006,0.33933246765593966
70,1259,2002,0.1748480326072777
71,1259,2003,0.18861795334756287
72,1259,2004,0.21540117120380672
73,1259,2005,0.26094091831284894
74,1259,2006,0.31230254281022624
75,1300,2002,503.1065169128161
76,1300,2003,507.6731650148614
77,1300,2004,511.7410814105758
78,1300,2005,515.2796157742722
79,1300,2006,518.7093880508511
80,1308,2002,0.060000000000000005
81,1308,2003,0.11401850117942006
82,1308,2004,0.17085057552343091
83,1308,2005,0.22928188173875705
84,1308,2006,0.28895337719433534
85,1327,2002,56.41097171349971
86,1327,2003,57.98863365307907
87,1327,2004,59.015642053263775
88,1327,2005,59.78095585689015
89,1327,2006,60.350732885197495
90,1356,2002,57.39865872297403
91,1356,2003,58.04318701784166
92,1356,2004,58.67188265361572
93,1356,2005,59.23508711035012
94,1356,2006,59.68495592693176
95,1359,2002,-0.6793881879787204
96,1359,2003,-1.3224889100427468
97,1359,2004,-1.5669660187325847
98,1359,2005,-1.638174147363916
99,1359,2006,-1.6296250024225492
100,1397,2002,0.060000000000000005
101,1397,2003,0.11401850117942006
102,1397,2004,0.17085057552343091
103,1397,2005,0.22928188173875705
104,1397,2006,0.28895337719433534
105,1408,2002,78.8188120769507
106,1408,2003,80.7409782834978
107,1408,2004,81.95816757098488
108,1408,2005,82.92453054295527
109,1408,2006,83.78460639695727
110,1468,2002,3.59075165340792
111,1468,2003,3.7657405692516237
112,1468,2004,3.876468519718288
113,1468,2005,3.9979932176868513
114,1468,2006,4.112310809276927
115,1478,2002,119.00208199423037
116,1478,2003,120.4726410895438
117,1478,2004,121.79461982605085
118,1478,2005,122.88534208621292
119,1478,2006,123.99316543709479
120,1496,2002,0.05805828311547418
121,1496,2003,0.10234217769370087
122,1496,2004,0.1516083086643764
123,1496,2005,0.20127235966208654
124,1496,2006,0.2611487394467944
125,1533,2002,0.05153535276363427
126,1533,2003,0.09644139647752328
127,1533,2004,0.1538691002333838
128,1533,2005,0.21160791067947302
129,1533,2006,0.27083906920105183
130,1554,2002,3.483884224587811
131,1554,2003,3.451914876718997
132,1554,2004,3.4793750124336134
133,1554,2005,3.50746664728381
134,1554,2006,3.5671174981777822
135,1577,2002,1.096954461593014
136,1577,2003,1.1823016563403592
137,1577,2004,1.2627433494341782
138,1577,2005,1.337892503920561
139,1577,2006,1.4058943342696526
140,1581,2002,195.40595805971216
141,1581,2003,191.90170876059332
142,1581,2004,191.3099289620753
143,1581,2005,191.64532500726673
144,1581,2006,192.70050791125402
145,1593,2002,0.02066123125870014
146,1593,2003,-0.08602875985428823
147,1593,2004,-0.08131185663146401
148,1593,2005,-0.05287223473181585
149,1593,2006,-0.008706660370357125
150,1598,2002,4.5620657969877545
151,1598,2003,4.549933047028785
152,1598,2004,4.580846348274303
153,1598,2005,4.640124337680353
154,1598,2006,4.696192937076711
155,1602,2002,34.74371528934727
156,1602,2003,34.871908198891994
157,1602,2004,35.069004839977715
158,1602,2005,35.36254330289649
159,1602,2006,35.610142288862995
160,1618,2002,0.03963732378922832
161,1618,2003,0.07580132205230639
162,1618,2004,0.1251962022262586
163,1618,2005,0.17303986576161476
164,1618,2006,0.23235609921698547
165,1632,2002,121.03053973148893
166,1632,2003,123.24761574819615
167,1632,2004,124.94512017296347
168,1632,2005,126.30490909872854
169,1632,2006,127.24327175122664
170,1633,2002,12.562698101039732
171,1633,2003,12.630380502401717
172,1633,2004,12.719454162702744
173,1633,2005,12.860764291664381
174,1633,2006,13.069137777312722
175,1635,2002,0.1909712023302248
176,1635,2003,0.20032912557304888
177,1635,2004,0.23131170366565337
178,1635,2005,0.25692165888991847
179,1635,2006,0.310817155333071
180,1651,2002,35.349730275431824
181,1651,2003,36.52029336223364
182,1651,2004,37.25611362886922
183,1651,2005,37.843303450125774
184,1651,2006,38.31733919779276
185,1659,2002,0.04813010356003597
186,1659,2003,0.08493910747358625
187,1659,2004,0.12529399641488156
188,1659,2005,0.17508754064037638
189,1659,2006,0.23487410596885677
190,1663,2002,1.2798241635307555
191,1663,2003,1.2778944177349751
192,1663,2004,1.3068575238754625
193,1663,2005,1.3534742426700683
194,1663,2006,1.4035999446003595
195,1677,2002,11.197913782751119
196,1677,2003,11.347631108223354
197,1677,2004,11.504038241668152
198,1677,2005,11.716771272602957
199,1677,2006,11.88654678661273
200,1678,2002,1.233600570195694
201,1678,2003,1.3033835724344505
202,1678,2004,1.3802157589050041
203,1678,2005,1.4514692927768165
204,1678,2006,1.5122155596160742
205,1690,2002,86.9629353733136
206,1690,2003,87.95320976221123
207,1690,2004,88.75681390338309
208,1690,2005,89.55229577810431
209,1690,2006,90.39295599685424
210,1704,2002,459.68486484133257
211,1704,2003,460.9382913002053
212,1704,2004,463.89127782665014
213,1704,2005,466.23760335695965
214,1704,2006,468.24801871875565
215,1706,2002,12.83349971265804
216,1706,2003,13.327308971689908
217,1706,2004,13.673021593877102
218,1706,2005,13.940068802913935
219,1706,2006,14.136323584662831
220,1722,2002,18.92976528842633
221,1722,2003,19.06686092956527
222,1722,2004,19.319502094129195
223,1722,2005,19.507374452080043
224,1722,2006,19.61551245708204
